Model,bootstrap,cross_validation,simple_random,stratified,systematic
M1,0.967741935483871,1.0,1.0,1.0,0.9032258064516129
M2,0.8387096774193549,0.8975409836065574,0.9354838709677419,0.9032258064516129,0.8709677419354839
M3,0.9354838709677419,0.9672131147540983,0.9354838709677419,1.0,0.8387096774193549
M4,1.0,1.0,0.967741935483871,1.0,0.9354838709677419
M5,0.7741935483870968,0.8237704918032787,0.7741935483870968,0.7096774193548387,0.8064516129032258
